class,striking_to_grappling_attempts_ratio
Striker,359.25
Striker,351
Striker,316
Striker,286
Striker,282
Striker,248
Striker,206
Striker,172.25
Striker,168
Striker,134
Striker,127
Striker,126
Striker,121.5
Striker,108
Striker,107.5
Striker,106
Striker,103
Striker,101
Striker,97
Striker,87.5
Striker,83
Striker,80.5
Striker,80.5
Striker,79
Striker,78
Striker,77.8
Striker,75
Striker,66
Striker,65.25
Striker,64.6
Striker,64.5
Striker,64
Striker,62
Striker,61.06
Striker,58.67
Striker,58.27
Striker,58
Striker,57.47
Striker,56
Striker,56
Striker,55.67
Striker,55.2
Striker,54.65
Striker,54.33
Striker,54
Striker,51
Striker,50.13
Striker,47.39
Striker,45
Striker,44.43
Striker,44.33
Striker,43.67
Striker,43.16
Striker,42.88
Striker,42.25
Striker,40.17
Striker,40
Striker,37.5
Striker,37
Striker,37
Grappler,37
Striker,36.5
Grappler,36.47
Striker,35.61
Striker,35.33
Striker,35.2
Striker,34.71
Striker,32.8
Striker,32.63
Striker,32.17
Striker,32
Striker,31.89
Striker,31.36
Striker,31.32
Striker,31
Striker,30.25
Striker,29.59
Striker,29.1
Striker,29
Striker,28.71
Striker,28.52
Striker,28.5
Striker,28.49
Striker,28
Striker,28
Striker,27.71
Striker,27
Striker,26.92
Striker,26.78
Striker,26.72
Striker,26.7
Striker,26.31
Striker,25.9
Striker,25.28
Striker,25.13
Striker,25.05
Striker,25
Striker,24.75
Striker,24.29
Striker,24
Striker,23.5
Striker,23.13
Striker,22.79
Striker,22.64
Striker,22.63
Striker,22.6
Striker,22.34
Striker,22
Striker,22
Striker,22
Striker,22
Striker,22
Striker,22
Striker,22
Striker,21.82
Striker,21.75
Striker,21.73
Striker,21.67
Striker,21.25
Striker,21
Striker,21
Striker,21
Striker,20.45
Striker,20.22
Striker,19.77
Striker,19.42
Striker,19.33
Striker,19.33
Striker,19.25
Striker,19
Grappler,19
Striker,18.17
Striker,18
Striker,18
Striker,17.99
Striker,17.82
Striker,17.67
Striker,17.37
Striker,17.2
Grappler,17.16
Striker,17.06
Striker,17
Striker,17
Striker,17
Grappler,17
Striker,16.94
Striker,16.86
Striker,16.59
Striker,15.93
Striker,15.78
Striker,15.52
Striker,15.5
Striker,15.4
Striker,15.06
Striker,15
Striker,15
Grappler,14.82
Striker,14.77
Striker,14.58
Striker,14.38
Striker,14.33
Striker,14.26
Striker,14.09
Striker,14.05
Striker,14
Striker,14
Striker,14
Striker,13.97
Striker,13.91
Striker,13.88
Striker,13.75
Striker,13.71
Striker,13.66
Striker,13.64
Striker,13.61
Striker,13.56
Striker,13.5
Striker,13.4
Striker,13.35
Striker,13.1
Striker,13.01
Striker,13
Striker,12.9
Striker,12.83
Striker,12.63
Striker,12.55
Striker,12.53
Striker,12.44
Striker,12.42
Striker,12.41
Striker,12.4
Grappler,12.37
Striker,12.36
Striker,12.34
Striker,12.32
Striker,12.13
Striker,12.09
Striker,12
Grappler,11.88
Striker,11.78
Striker,11.72
Striker,11.58
Striker,11.57
Striker,11.4
Striker,11.36
Striker,11.33
Striker,11.31
Striker,11.12
Striker,11.04
Striker,11.04
Striker,11
Striker,10.99
Striker,10.94
Striker,10.93
Striker,10.92
Striker,10.81
Striker,10.76
Striker,10.73
Striker,10.7
Striker,10.69
Striker,10.69
Striker,10.65
Striker,10.63
Striker,10.63
Striker,10.58
Striker,10.56
Striker,10.44
Striker,10.42
Striker,10.38
Grappler,10.32
Grappler,10.23
Striker,10.22
Striker,10.12
Grappler,10.1
Striker,10.05
Striker,10.01
Striker,10
Striker,10
Striker,10
Striker,10
Striker,9.99
Striker,9.95
Striker,9.94
Striker,9.94
Striker,9.93
Striker,9.91
Striker,9.9
Striker,9.83
Striker,9.72
Grappler,9.56
Striker,9.42
Striker,9.39
Striker,9.27
Grappler,9.18
Striker,9.14
Striker,9.05
Striker,9.03
Striker,9
Striker,9
Striker,8.86
Striker,8.85
Striker,8.84
Striker,8.75
Striker,8.7
Striker,8.64
Striker,8.63
Striker,8.6
Striker,8.55
Grappler,8.51
Striker,8.44
Striker,8.39
Grappler,8.37
Striker,8.36
Striker,8.34
Grappler,8.33
Striker,8.33
Striker,8.32
Striker,8.29
Striker,8.13
Striker,8.04
Striker,8
Striker,8
Striker,7.93
Striker,7.86
Striker,7.84
Striker,7.8
Striker,7.76
Grappler,7.76
Striker,7.75
Grappler,7.66
Striker,7.64
Striker,7.61
Striker,7.57
Striker,7.54
Striker,7.51
Striker,7.5
Striker,7.5
Striker,7.46
Striker,7.46
Striker,7.41
Striker,7.41
Striker,7.35
Grappler,7.35
Striker,7.35
Striker,7.32
Grappler,7.29
Striker,7.28
Striker,7.26
Striker,7.22
Striker,7.17
Striker,7.16
Striker,7.15
Striker,7.13
Grappler,7.06
Striker,7
Striker,7
Striker,7
Striker,7
Striker,7
Striker,7
Grappler,7
Striker,7
Grappler,6.97
Grappler,6.94
Striker,6.93
Grappler,6.9
Grappler,6.81
Grappler,6.8
Grappler,6.8
Grappler,6.8
Striker,6.79
Striker,6.77
Grappler,6.77
Striker,6.74
Grappler,6.73
Grappler,6.72
Grappler,6.64
Grappler,6.64
Striker,6.6
Grappler,6.59
Grappler,6.55
Grappler,6.54
Striker,6.5
Grappler,6.5
Grappler,6.45
Grappler,6.44
Grappler,6.42
Striker,6.41
Striker,6.41
Grappler,6.35
Striker,6.33
Striker,6.27
Grappler,6.22
Grappler,6.2
Striker,6.19
Grappler,6.19
Grappler,6.17
Grappler,6.13
Grappler,6.06
Grappler,6.04
Grappler,6.04
Grappler,6.03
Grappler,6.02
Striker,6.01
Grappler,6.01
Grappler,6
Grappler,5.98
Grappler,5.98
Striker,5.97
Striker,5.97
Grappler,5.95
Striker,5.94
Grappler,5.93
Grappler,5.92
Grappler,5.9
Grappler,5.9
Grappler,5.88
Grappler,5.88
Grappler,5.86
Striker,5.85
Grappler,5.84
Grappler,5.8
Striker,5.8
Grappler,5.79
Grappler,5.77
Grappler,5.76
Striker,5.76
Grappler,5.75
Grappler,5.75
Grappler,5.73
Grappler,5.71
Grappler,5.71
Striker,5.7
Grappler,5.69
Grappler,5.68
Striker,5.67
Grappler,5.66
Grappler,5.63
Grappler,5.62
Grappler,5.6
Grappler,5.59
Striker,5.57
Grappler,5.53
Grappler,5.53
Striker,5.52
Grappler,5.5
Grappler,5.5
Grappler,5.5
Grappler,5.5
Grappler,5.5
Grappler,5.48
Grappler,5.46
Grappler,5.46
Grappler,5.43
Grappler,5.4
Grappler,5.39
Grappler,5.38
Grappler,5.36
Grappler,5.31
Grappler,5.28
Grappler,5.26
Grappler,5.25
Grappler,5.24
Striker,5.23
Grappler,5.23
Grappler,5.21
Grappler,5.19
Striker,5.18
Grappler,5.12
Grappler,5.11
Grappler,5.09
Striker,5.07
Grappler,5.07
Striker,5.06
Grappler,5.03
Striker,5.03
Grappler,5.02
Grappler,5.01
Grappler,5
Grappler,5
Grappler,5
Striker,4.98
Grappler,4.97
Grappler,4.95
Grappler,4.95
Grappler,4.95
Grappler,4.91
Grappler,4.89
Grappler,4.89
Grappler,4.87
Grappler,4.86
Grappler,4.86
Grappler,4.85
Grappler,4.85
Striker,4.81
Grappler,4.8
Grappler,4.8
Striker,4.79
Grappler,4.79
Grappler,4.78
Grappler,4.78
Grappler,4.77
Grappler,4.76
Grappler,4.74
Grappler,4.73
Grappler,4.7
Striker,4.68
Striker,4.67
Grappler,4.67
Grappler,4.63
Striker,4.6
Grappler,4.58
Grappler,4.58
Grappler,4.55
Striker,4.53
Grappler,4.48
Grappler,4.48
Grappler,4.46
Striker,4.45
Grappler,4.44
Grappler,4.44
Grappler,4.43
Grappler,4.42
Grappler,4.41
Striker,4.4
Grappler,4.4
Striker,4.36
Grappler,4.36
Grappler,4.35
Grappler,4.35
Striker,4.34
Grappler,4.33
Grappler,4.32
Grappler,4.31
Grappler,4.31
Grappler,4.29
Grappler,4.29
Grappler,4.27
Grappler,4.24
Grappler,4.23
Striker,4.23
Grappler,4.21
Grappler,4.2
Striker,4.2
Grappler,4.19
Striker,4.19
Grappler,4.18
Grappler,4.17
Grappler,4.16
Grappler,4.15
Grappler,4.13
Striker,4.11
Grappler,4.1
Striker,4.07
Grappler,4.07
Grappler,4.06
Grappler,4.04
Grappler,4.04
Grappler,4.04
Grappler,4.04
Grappler,4.04
Grappler,4.01
Grappler,4.01
Striker,4.01
Grappler,4
Grappler,4
Grappler,4
Grappler,4
Grappler,4
Grappler,4
Grappler,3.99
Grappler,3.97
Grappler,3.94
Grappler,3.93
Striker,3.91
Grappler,3.91
Grappler,3.91
Grappler,3.9
Grappler,3.89
Grappler,3.88
Grappler,3.88
Grappler,3.87
Grappler,3.86
Grappler,3.86
Striker,3.86
Grappler,3.83
Grappler,3.83
Grappler,3.83
Grappler,3.82
Striker,3.82
Grappler,3.81
Grappler,3.81
Striker,3.75
Grappler,3.75
Grappler,3.75
Grappler,3.72
Grappler,3.71
Grappler,3.71
Striker,3.7
Grappler,3.7
Grappler,3.67
Grappler,3.67
Grappler,3.66
Grappler,3.65
Grappler,3.64
Grappler,3.62
Grappler,3.62
Grappler,3.61
Grappler,3.61
Striker,3.6
Grappler,3.59
Grappler,3.55
Grappler,3.54
Grappler,3.53
Grappler,3.52
Grappler,3.51
Grappler,3.5
Grappler,3.5
Grappler,3.5
Grappler,3.49
Grappler,3.49
Striker,3.48
Grappler,3.47
Grappler,3.45
Grappler,3.45
Grappler,3.45
Striker,3.43
Grappler,3.43
Grappler,3.43
Grappler,3.42
Grappler,3.41
Striker,3.39
Grappler,3.37
Grappler,3.36
Grappler,3.36
Grappler,3.35
Grappler,3.35
Grappler,3.35
Grappler,3.35
Grappler,3.33
Grappler,3.33
Grappler,3.3
Grappler,3.29
Grappler,3.29
Striker,3.28
Grappler,3.27
Grappler,3.25
Grappler,3.25
Grappler,3.24
Striker,3.23
Grappler,3.21
Grappler,3.2
Grappler,3.18
Striker,3.18
Striker,3.17
Striker,3.16
Grappler,3.15
Grappler,3.1
Grappler,3.09
Grappler,3.08
Grappler,3.08
Striker,3.07
Grappler,3.06
Striker,3.05
Grappler,3.03
Grappler,3.02
Grappler,3
Grappler,3
Grappler,3
Grappler,3
Grappler,3
Grappler,3
Grappler,2.97
Grappler,2.96
Grappler,2.96
Striker,2.95
Grappler,2.95
Grappler,2.95
Grappler,2.95
Grappler,2.94
Grappler,2.92
Grappler,2.92
Grappler,2.91
Grappler,2.91
Grappler,2.9
Grappler,2.89
Grappler,2.89
Grappler,2.88
Grappler,2.88
Grappler,2.87
Grappler,2.86
Striker,2.85
Grappler,2.85
Grappler,2.85
Grappler,2.84
Grappler,2.84
Grappler,2.84
Grappler,2.84
Grappler,2.83
Grappler,2.82
Grappler,2.81
Grappler,2.81
Grappler,2.8
Grappler,2.79
Grappler,2.79
Grappler,2.78
Grappler,2.77
Grappler,2.77
Striker,2.77
Grappler,2.77
Grappler,2.76
Grappler,2.76
Grappler,2.75
Grappler,2.75
Grappler,2.75
Grappler,2.75
Grappler,2.75
Grappler,2.74
Grappler,2.74
Striker,2.74
Grappler,2.73
Grappler,2.73
Striker,2.73
Grappler,2.72
Striker,2.72
Grappler,2.72
Grappler,2.71
Grappler,2.7
Striker,2.7
Grappler,2.69
Grappler,2.68
Grappler,2.67
Grappler,2.67
Grappler,2.66
Grappler,2.64
Grappler,2.64
Grappler,2.64
Grappler,2.64
Grappler,2.64
Grappler,2.64
Striker,2.64
Grappler,2.63
Striker,2.62
Grappler,2.6
Grappler,2.59
Grappler,2.58
Striker,2.56
Grappler,2.55
Grappler,2.55
Grappler,2.54
Striker,2.53
Grappler,2.53
Grappler,2.52
Grappler,2.52
Grappler,2.52
Grappler,2.52
Grappler,2.52
Grappler,2.5
Grappler,2.5
Grappler,2.5
Grappler,2.49
Grappler,2.48
Grappler,2.47
Grappler,2.46
Grappler,2.46
Grappler,2.44
Grappler,2.43
Grappler,2.42
Grappler,2.4
Grappler,2.4
Grappler,2.39
Grappler,2.38
Grappler,2.35
Grappler,2.35
Grappler,2.33
Grappler,2.33
Striker,2.32
Grappler,2.32
Grappler,2.31
Grappler,2.31
Grappler,2.3
Grappler,2.3
Striker,2.29
Grappler,2.29
Grappler,2.28
Striker,2.28
Grappler,2.27
Striker,2.27
Grappler,2.27
Grappler,2.26
Grappler,2.26
Striker,2.26
Grappler,2.25
Striker,2.24
Grappler,2.24
Grappler,2.24
Grappler,2.24
Grappler,2.22
Grappler,2.2
Grappler,2.18
Grappler,2.17
Grappler,2.17
Grappler,2.15
Grappler,2.14
Grappler,2.14
Grappler,2.13
Grappler,2.13
Striker,2.12
Grappler,2.11
Grappler,2.1
Striker,2.1
Grappler,2.07
Grappler,2.06
Striker,2.06
Grappler,2.05
Grappler,2.05
Grappler,2.05
Striker,2.05
Grappler,2.04
Grappler,2.03
Grappler,2.03
Grappler,2
Grappler,2
Grappler,2
Grappler,1.99
Striker,1.99
Striker,1.99
Grappler,1.99
Grappler,1.98
Grappler,1.98
Striker,1.97
Striker,1.97
Striker,1.97
Grappler,1.95
Grappler,1.95
Grappler,1.95
Grappler,1.95
Grappler,1.93
Striker,1.92
Grappler,1.92
Grappler,1.91
Striker,1.91
Grappler,1.91
Grappler,1.91
Grappler,1.91
Grappler,1.9
Grappler,1.9
Grappler,1.9
Grappler,1.9
Grappler,1.88
Grappler,1.88
Grappler,1.88
Grappler,1.88
Striker,1.88
Grappler,1.87
Grappler,1.87
Grappler,1.86
Grappler,1.84
Grappler,1.83
Striker,1.83
Grappler,1.83
Grappler,1.82
Grappler,1.8
Grappler,1.8
Grappler,1.78
Grappler,1.76
Grappler,1.71
Grappler,1.71
Grappler,1.7
Grappler,1.7
Grappler,1.69
Grappler,1.69
Grappler,1.67
Grappler,1.67
Grappler,1.67
Grappler,1.67
Grappler,1.66
Grappler,1.66
Grappler,1.65
Grappler,1.63
Striker,1.62
Striker,1.61
Grappler,1.58
Grappler,1.58
Grappler,1.58
Grappler,1.57
Grappler,1.56
Grappler,1.55
Grappler,1.54
Grappler,1.54
Grappler,1.52
Grappler,1.52
Grappler,1.52
Grappler,1.51
Grappler,1.5
Grappler,1.5
Grappler,1.49
Grappler,1.49
Grappler,1.49
Grappler,1.48
Striker,1.48
Grappler,1.47
Grappler,1.47
Grappler,1.47
Striker,1.46
Grappler,1.45
Grappler,1.45
Grappler,1.45
Grappler,1.45
Grappler,1.44
Grappler,1.43
Striker,1.41
Grappler,1.39
Striker,1.38
Grappler,1.37
Grappler,1.36
Grappler,1.34
Grappler,1.34
Grappler,1.34
Grappler,1.33
Grappler,1.33
Grappler,1.33
Grappler,1.32
Grappler,1.32
Grappler,1.3
Grappler,1.3
Grappler,1.29
Grappler,1.25
Grappler,1.25
Grappler,1.25
Grappler,1.24
Grappler,1.23
Grappler,1.23
Grappler,1.22
Grappler,1.19
Striker,1.18
Grappler,1.17
Grappler,1.16
Grappler,1.15
Grappler,1.14
Grappler,1.14
Grappler,1.13
Grappler,1.11
Grappler,1.1
Grappler,1.08
Grappler,1.08
Grappler,1.07
Grappler,1.06
Grappler,1.06
Grappler,1.05
Grappler,1.05
Grappler,1
Grappler,1
Grappler,0.91
Grappler,0.89
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,
