Name,estimated_minutes,submission_wins_final,ko_tko_wins_final,StrikingAttemptsToGrapplingAttempts_Ratio,PercentRank_StrikingtoGrappingAttemps_Ratio,StrikingToGrapplingTime_Ratio,PercentRank_StrikingToGrappingTime_Ratio,manual_stat_entry,classification
Maximo Blanco,60,0,8,4.4,0.56,8.16,0.18,1,Striker
Maycee Barber,15,2,4,6.5,0.69,23,0.44,1,Striker
Mayra Bueno Silva,5,0,0,0,0,7,0.11,0,Grappler
Megan Anderson,15,0,0,0,0,23,0.44,0,Grappler
Mehdi Baghdad,20,0,0,3,0.42,31,0.59,0,Grappler
Melinda Fabian,30,0,0,87.5,0.98,47,0.72,0,Striker
Melvin Guillard,15,2,21,0,0,23,0.44,1,Striker
Merab Dvalishvili,45,0,0,4.86,0.59,31.43,0.64,0,Grappler
Michael Bisping,170,3,17,25.28,0.92,88.28,0.83,1,Striker
Michael Chiesa,75,11,0,1.88,0.26,2.42,0.02,1,Grappler
Michael Cora,15,0,0,0,0,23,0.44,0,Grappler
Michael Graves,40,0,0,1.39,0.2,10.97,0.24,0,Grappler
Michael Johnson,115,2,8,43.16,0.95,53.44,0.76,1,Striker
Michael McBride,25,0,0,1.76,0.25,221.22,0.91,0,Grappler
Michael McDonald,15,0,0,4.67,0.57,359,0.93,0,Grappler
Michael Trizano,15,0,0,0,0,23,0.44,0,Grappler
Michal Oleksiejczuk,15,0,0,0,0,23,0.44,0,Grappler
Michel Prazeres,125,11,1,3,0.43,8.61,0.19,1,Grappler
Michel Quinones,25,0,0,79,0.98,39,0.67,0,Striker
Michelle Waterson,75,9,3,2.27,0.32,4.08,0.05,1,Grappler
Michinori Tanaka,75,6,0,1.7,0.24,8.39,0.18,1,Grappler
Mickael Lebout,45,0,0,6.8,0.7,27.02,0.57,0,Grappler
Mickey Gall,40,5,0,1.08,0.18,9,0.2,1,Grappler
Miesha Tate,105,7,3,2.64,0.37,4.45,0.06,1,Grappler
Mike de la Torre,55,5,7,19.42,0.89,506.69,0.95,1,Striker
Mike Easton,30,0,0,19.33,0.88,47,0.72,0,Striker
Mike Jackson,20,0,0,6,0.67,31,0.59,0,Grappler
Mike King,10,0,0,0,0,15,0.3,0,Grappler
Mike Perry,95,0,11,5.94,0.66,20.89,0.42,1,Striker
Mike Pierce,15,0,0,0,0,23,0.44,0,Grappler
Mike Pyle,70,16,7,3.59,0.48,11.28,0.25,1,Grappler
Mike Rhodes,35,0,0,25.13,0.91,465.67,0.94,0,Striker
Mike Rio,10,0,0,0,0,15,0.3,0,Grappler
Mike Rodriguez,20,0,0,10,0.78,31,0.59,0,Striker
Mike Santiago,35,0,0,4.85,0.59,33.43,0.65,0,Grappler
Mike Swick,15,3,8,0,0,23,0.44,1,Striker
Mike Wilkinson,20,0,0,2.29,0.32,31,0.59,0,Grappler
Milana Dudieva,35,0,0,1.67,0.24,67.85,0.8,0,Grappler
Minotauro Nogueira,20,21,3,37,0.95,31,0.59,1,Grappler
Mirko Cro Cop,15,4,30,22,0.9,23,0.44,1,Striker
Mirsad Bektic,80,3,6,1.41,0.21,1.68,0.01,1,Striker
Misha Cirkunov,45,8,4,2.31,0.33,7.93,0.17,1,Grappler
Mitch Clarke,40,0,0,5.71,0.64,63,0.79,0,Grappler
Mitch Gagnon,50,0,0,4.35,0.55,79,0.82,0,Grappler
Mizuto Hirota,60,0,10,2.85,0.41,11.39,0.25,1,Striker
Molly McCann,10,0,0,0,0,15,0.3,0,Grappler
Montana De La Rosa,20,8,0,19,0.88,31,0.59,1,Grappler
Montel Jackson,15,0,0,0,0,23,0.44,0,Grappler
Muslim Salikhov,20,0,0,27,0.92,31,0.59,0,Striker
Myles Jury,65,3,10,4.68,0.57,17.8,0.39,1,Striker
Nad Narimani,15,0,0,0,0,23,0.44,0,Grappler
Nadia Kassem,15,0,0,0,0,23,0.44,0,Grappler
Nam Phan,15,6,8,0,0,23,0.44,1,Striker
Naoki Inoue,30,0,0,1.52,0.22,14.03,0.29,0,Grappler
Naoyuki Kotani,35,0,0,3.64,0.49,139,0.88,0,Grappler
Nasrat Haqparast,30,0,0,4.95,0.59,125.32,0.87,0,Grappler
Nate Diaz,65,11,5,9.18,0.77,820.05,0.97,1,Grappler
Nate Marquardt,100,14,13,4.24,0.55,8.86,0.19,1,Grappler
Nathan Coy,25,0,0,2.9,0.41,11.27,0.25,0,Grappler
Nathaniel Wood,10,0,0,0,0,15,0.3,0,Grappler
Nazareno Malegarie,15,0,0,0,0,23,0.44,0,Grappler
Neil Magny,205,3,7,2.73,0.38,3.25,0.03,1,Striker
Neil Seery,100,6,6,3.72,0.49,7999,1,1,Grappler
Nicco Montano,25,0,0,6.2,0.68,39,0.67,0,Grappler
Nick Catone,15,0,0,0,0,23,0.44,0,Grappler
Nick Diaz,25,8,13,17,0.87,39,0.67,1,Striker
Nick Hein,95,4,1,7.76,0.74,0.08,0,1,Grappler
Nick Roehrick,15,0,0,0,0,23,0.44,0,Grappler
Nick Urso,5,0,0,0,0,7,0.11,0,Grappler
Nico Musoke,75,5,4,5.79,0.65,8.93,0.2,1,Grappler
Nicolas Dalby,60,4,6,6.41,0.68,34.64,0.66,1,Striker
Nik Lentz,105,8,11,2.72,0.38,5.27,0.08,1,Striker
Nikita Krylov,60,15,10,2.8,0.4,36.11,0.67,1,Grappler
Niklas Backstrom,25,0,0,2.71,0.37,39,0.67,0,Grappler
Niko Price,55,3,9,4.79,0.58,9.23,0.21,1,Striker
Nina Ansaroff,75,2,4,5.7,0.64,10.63,0.23,1,Striker
Ning Guangyou,55,0,0,3.86,0.51,87,0.83,0,Grappler
Noad Lahat,45,0,0,2.73,0.38,20.82,0.42,0,Grappler
Nolan Ticman,20,0,0,0.89,0.17,27.74,0.57,0,Grappler
Nordine Taleb,105,0,7,2.24,0.31,6.48,0.1,1,Striker
Norifumi Yamamoto,10,2,13,0,0,15,0.3,1,Striker
Norman Parke,85,12,4,6.02,0.67,17.33,0.38,1,Grappler
Oliver Enkamp,20,0,0,7.13,0.72,368.23,0.94,0,Striker
Olivier Aubin-Mercier,130,0,0,2.77,0.39,13,0.28,0,Grappler
Oluwale Bamgbose,45,0,0,1.9,0.27,70.52,0.8,0,Grappler
Omari Akhmedov,100,5,7,4.2,0.54,8.62,0.19,1,Striker
Oskar Piechota,30,0,0,2.75,0.39,12.33,0.27,0,Grappler
Ovince St. Preux,185,7,11,4.81,0.59,6.07,0.1,1,Striker
Paddy Holohan,40,0,0,1.8,0.25,3.21,0.03,0,Grappler
Paige VanZant,100,3,2,2.33,0.33,3999,1,1,Grappler
Pat Healy,30,15,7,4.7,0.58,899,0.97,1,Grappler
Patrick Cote,100,3,10,1.97,0.28,15.16,0.35,1,Striker
Patrick Cummins,125,2,4,1.61,0.23,1.42,0,1,Striker
Patrick Holohan,20,0,0,2.05,0.29,42.24,0.7,0,Grappler
Patrick Walsh,30,0,0,1.06,0.17,11.87,0.26,0,Grappler
Patrick Williams,40,0,0,5.63,0.64,62.37,0.79,0,Grappler
Paul Craig,35,0,0,4.97,0.6,31.56,0.64,0,Grappler
Paul Felder,135,1,10,5.76,0.65,6.5,0.11,1,Striker
Paul Redmond,20,0,0,1.29,0.19,799,0.96,0,Grappler
Paulo Borrachinha,5,0,0,21,0.89,7,0.11,0,Striker
PAULO HENRIQUE COSTA,30,1,11,5.07,0.61,799,0.96,1,Striker
Paulo Thiago,30,10,2,17,0.87,1199,0.97,1,Grappler
Pawel Pawlak,45,0,0,3.08,0.43,99.47,0.84,0,Grappler
Pearl Gonzalez,30,0,0,10.73,0.8,179,0.9,0,Striker
Pedro Munhoz,105,4,9,10.38,0.79,30.54,0.59,1,Striker
Peter Petties,10,0,0,0,0,15,0.3,0,Grappler
Peter Sobotta,65,0,0,1.99,0.28,3.24,0.03,0,Grappler
Petr Yan,20,1,5,3.75,0.49,149,0.88,1,Striker
Phil Davis,45,5,5,4.04,0.53,31.24,0.64,1,Grappler
Phil Harris,20,0,0,2.5,0.34,31,0.59,0,Grappler
Phil Hawes,10,0,0,0,0,15,0.3,0,Grappler
Phillipe Nover,60,0,0,3.52,0.48,95,0.84,0,Grappler
Piotr Hallmann,55,0,0,2.91,0.41,12.31,0.27,0,Grappler
Poliana Botelho,20,0,6,106,0.99,599,0.95,1,Striker
Polo Reyes,45,0,0,8.86,0.76,18.93,0.4,0,Striker
Polyana Viana,20,0,0,1.25,0.19,81.76,0.82,0,Grappler
Priscila Cachoeira,10,0,0,0,0,15,0.3,0,Grappler
Quinn Mulhern,15,0,0,0,0,23,0.44,0,Grappler
Rachael Ostovich,20,0,0,3.75,0.49,132.33,0.87,0,Grappler
Rafael Dos Anjos,100,10,5,3.65,0.49,2.07,0.01,1,Grappler
Rafael dos Anjos,75,10,5,2.95,0.42,8.72,0.19,1,Grappler
Rafael Feijao,45,0,0,5.88,0.66,71,0.81,0,Grappler
Rafael Natal,100,0,0,3.3,0.45,5.68,0.09,0,Grappler
Rafaello Oliveira,5,0,0,0,0,7,0.11,0,Grappler
Ramazan Emeev,45,0,0,5.25,0.62,39.3,0.69,0,Grappler
Rampage Jackson,15,4,20,0,0,23,0.44,1,Striker
Ramsey Nijem,45,0,0,2.04,0.29,10.48,0.23,0,Grappler
Randa Markos,140,0,0,2.84,0.4,4.05,0.05,0,Grappler
Randy Brown,90,0,0,6.45,0.69,11.99,0.27,0,Grappler
Rani Yahya,100,0,0,2.52,0.35,2.28,0.02,0,Grappler
Raoni Barcelos,15,0,0,5.5,0.63,23,0.44,0,Grappler
Raphael Assuncao,105,10,4,10.23,0.79,154.56,0.89,1,Grappler
Raquel Pennington,115,3,1,7.35,0.72,22.73,0.43,1,Grappler
Rashad Coulter,25,0,0,27.71,0.92,443.44,0.94,0,Striker
Rashad Evans,55,1,8,26.72,0.92,184.92,0.9,1,Striker
Rashid Magomedov,90,0,0,10.93,0.81,1269.59,0.98,0,Striker
Ray Borg,120,6,1,1.25,0.19,1.77,0.01,1,Grappler
Reginaldo Vieira,40,0,0,2.15,0.3,18.01,0.39,0,Grappler
Renan Barao,140,15,8,11.88,0.82,33.25,0.65,1,Grappler
Renato Moicano,75,6,0,17.16,0.87,27.8,0.58,1,Grappler
Renee Forte,15,0,0,0,0,23,0.44,0,Grappler
Reza Madadi,60,0,0,8.04,0.75,149,0.88,0,Striker
Ricardo Abreu,25,0,0,7.93,0.74,271.73,0.92,0,Striker
Ricardo Lamas,115,5,6,5.97,0.66,8.36,0.18,1,Striker
Ricardo Ramos,45,0,0,4.04,0.53,77.55,0.81,0,Grappler
Richard Walsh,80,0,0,4.43,0.56,19.87,0.41,0,Grappler
Richardson Moreira,20,0,0,5,0.6,31,0.59,0,Grappler
Richie Smullen,5,0,0,0,0,7,0.11,0,Grappler
Richie Vaculik,45,0,0,2.96,0.42,12.06,0.27,0,Grappler
Rick Glenn,75,0,0,3.62,0.48,22.72,0.43,0,Grappler
Rick Story,75,0,0,6.54,0.69,11.84,0.26,0,Grappler
Ricky Palacios,15,0,0,0,0,23,0.44,0,Grappler
Ricky Rainey,10,0,0,0,0,15,0.3,0,Grappler
Ricky Simon,45,0,0,3.91,0.51,1.84,0.01,0,Grappler
Ricky Turcios,15,0,0,0,0,23,0.44,0,Grappler
Rilley Dutro,15,0,0,0,0,23,0.44,0,Grappler
Rin Nakai,30,0,0,2.97,0.42,134.85,0.87,0,Grappler
Roan Carneiro,40,0,0,5.36,0.62,49.66,0.75,0,Grappler
Rob Font,75,4,7,10.12,0.79,33.42,0.65,1,Striker
Rob Whiteford,50,0,0,2.88,0.41,11.89,0.27,0,Grappler
Rob Wilkinson,20,0,0,8.29,0.75,251.63,0.92,0,Striker
Robbie Lawler,185,1,20,12.9,0.83,57.19,0.78,1,Striker
Robert Drysdale,5,0,0,0,0,7,0.11,0,Grappler
Robert Peralta,35,0,0,8.34,0.75,55,0.77,0,Striker
Robert Whittaker,130,5,9,7.17,0.72,10.33,0.23,1,Striker
Roberto Sanchez,25,0,0,1.08,0.17,17.46,0.38,0,Grappler
Rocky Lee,15,3,0,0,0,23,0.44,1,Grappler
Rodolfo Rubio,15,0,0,0,0,23,0.44,0,Grappler
Rodrigo Damm,60,0,0,15.93,0.86,265.67,0.92,0,Striker
Rodrigo de Lima,25,0,0,1.24,0.19,26.65,0.57,0,Grappler
Roger Narvaez,35,0,0,4.44,0.56,36.67,0.67,0,Grappler
Roger Zapata,15,0,0,0,0,23,0.44,0,Grappler
Rogerio Nogueira,50,0,0,10.65,0.8,386.1,0.94,0,Striker
Roland Delorme,20,0,0,1.69,0.24,31,0.59,0,Grappler
Rolando Dy,50,0,0,12.44,0.83,141.01,0.88,0,Striker
Roldan Sangcha-an,25,0,0,21.25,0.89,149,0.88,0,Striker
Roman Salazar,25,0,0,6.5,0.69,665.67,0.96,0,Grappler
Ron Stallings,30,0,0,54.33,0.96,377.95,0.94,0,Striker
Ronaldo Candido De Oliveira,15,0,0,0,0,23,0.44,0,Grappler
Ronda Rousey,35,0,0,5.69,0.64,226.03,0.91,0,Grappler
Ronny Markes,5,0,0,0,0,7,0.11,0,Grappler
Rony Jason,55,0,0,7.76,0.74,53.1,0.76,0,Striker
Rory MacDonald,95,7,7,8.51,0.76,711.5,0.96,1,Grappler
Rose Namajunas,115,5,1,3.45,0.47,22.54,0.43,1,Grappler
Ross Pearson,190,7,5,14.82,0.86,35.82,0.66,1,Grappler
Roxanne Modafferi,35,5,4,12.37,0.83,106.69,0.85,1,Grappler
Roy Nelson,110,4,15,8.13,0.75,19.2,0.4,1,Striker
Royston Wee,40,0,0,1.05,0.17,3.69,0.04,0,Grappler
Ruan Potts,20,0,0,2.54,0.35,341.86,0.93,0,Grappler
Ruon Potts,5,0,0,0,0,7,0.11,0,Grappler
Ruslan Magomedov,45,0,0,77.8,0.98,4319,1,0,Striker
Russell Doane,85,0,0,1.78,0.25,2.21,0.02,0,Grappler
Rustam Khabilov,125,0,0,2.64,0.36,5.3,0.08,0,Grappler
Ryan Bader,100,3,12,2.26,0.31,13.44,0.29,1,Striker
Ryan Benoit,60,1,8,5.67,0.64,85.75,0.83,1,Striker
Ryan Hall,30,3,2,1.33,0.2,19.87,0.41,1,Grappler
Ryan Janes,50,0,0,14.26,0.85,27.37,0.57,0,Striker
Ryan Jimmo,30,0,0,13.56,0.84,47,0.72,0,Striker
Ryan LaFlare,110,0,0,4.29,0.55,14.86,0.3,0,Grappler
Ryan Spann,20,0,0,2,0.29,31,0.59,0,Grappler
Sabah Homasi,20,0,0,12.53,0.83,37.71,0.67,0,Striker
Sage Northcutt,90,0,0,2.55,0.35,9.1,0.2,0,Grappler
Sai Wang,30,0,0,1.52,0.22,17.37,0.38,0,Grappler
Said Nurmagomedov,15,0,0,0,0,23,0.44,0,Grappler
Salim Touahri,15,0,0,0,0,23,0.44,0,Grappler
Sam Alvey,170,3,19,13.4,0.84,4.72,0.07,1,Striker
Sam Sicilia,85,0,0,2.79,0.39,3.48,0.04,0,Grappler
Sam Stout,20,1,9,127,0.99,31,0.59,1,Striker
Santiago Ponzinibbio,90,6,15,22.79,0.91,84.38,0.82,1,Striker
Saparbeg Safarov,15,0,0,43.67,0.95,23,0.44,0,Striker
Sara McMann,90,5,1,2.38,0.33,1.72,0.01,1,Grappler
Sarah Kaufman,40,0,0,26.31,0.92,281.35,0.92,0,Striker
Sarah Moras,50,0,0,1.45,0.21,20.78,0.42,0,Grappler
Scott Askham,70,0,0,3.43,0.46,67.57,0.8,0,Grappler
Scott Holtzman,105,0,0,3.5,0.47,5.43,0.08,0,Grappler
Scott Jorgensen,50,0,0,2.84,0.4,9.7,0.21,0,Grappler
Sean O'Connell,70,0,0,28.5,0.93,177.72,0.9,0,Striker
Sean O'Malley,35,0,0,31.36,0.93,310.11,0.93,0,Striker
Sean Soriano,40,0,0,2.52,0.35,52.04,0.76,0,Grappler
Sean Spencer,70,0,0,9.39,0.77,17.75,0.39,0,Striker
Sean Strickland,115,0,0,5.98,0.67,11.61,0.25,0,Grappler
Seohee Ham,60,0,0,40,0.95,653.55,0.96,0,Striker
Sergio Moraes,105,0,0,6.04,0.67,5.97,0.09,0,Grappler
Sergio Pettis,170,3,3,6.9,0.7,8.11,0.18,1,Grappler
Seth Baczynski,25,0,0,32.17,0.94,351.94,0.93,0,Striker
Shamil Abdurakhimov,75,4,9,7.46,0.73,34.36,0.66,1,Striker
Shana Dobson,25,0,0,97,0.98,39,0.67,0,Striker
Shane Burgos,60,5,4,9.56,0.77,56.83,0.78,1,Grappler
Shane Campbell,50,0,0,3.62,0.48,11,0.24,0,Grappler
Shane Howell,20,0,0,2.5,0.34,31,0.59,0,Grappler
Shane Young,25,0,0,83,0.98,351.94,0.93,0,Striker
Shawn Jordan,50,0,0,1.9,0.26,10.88,0.24,0,Grappler
Shayna Baszler,15,0,0,2.73,0.38,93.74,0.84,0,Grappler
Sheldon Westcott,30,0,0,4.8,0.58,96.3,0.84,0,Grappler
Shelton Graves,15,0,0,5.5,0.63,23,0.44,0,Grappler
Sheymon Moraes,30,0,0,5.43,0.62,799,0.96,0,Grappler
Shinsho Anzai,40,0,0,3.27,0.45,20.45,0.42,0,Grappler
Shunichi Shimizu,15,0,0,0,0,23,0.44,0,Grappler
Sidney Outlaw,15,0,0,0,0,23,0.44,0,Grappler
Sijara Eubanks,15,0,2,0,0,23,0.44,1,Striker
Sirwan Kakai,30,0,0,5.11,0.61,29.51,0.59,0,Grappler
Siyar Bahadurzada,35,0,0,1.58,0.23,7.49,0.17,0,Grappler
Soa Palelei,40,0,0,1.83,0.25,28.36,0.58,0,Grappler
Song Kenan,15,0,0,1.15,0.18,1199,0.97,0,Grappler
Song Yadong,15,3,5,7.5,0.73,23,0.44,1,Striker
Stanislav Nedkov,5,0,0,0,0,7,0.11,0,Grappler
Stefan Sekulic,15,0,0,0,0,23,0.44,0,Grappler
Stefan Struve,95,18,8,10.1,0.79,34.88,0.66,1,Grappler
Stephen Thompson,145,1,7,9.94,0.78,35.48,0.66,1,Striker
Steve Bosse,25,0,0,14,0.85,39,0.67,0,Striker
Steve Kennedy,20,0,0,12,0.82,31,0.59,0,Striker
Steve Montgomery,20,0,0,32,0.94,31,0.59,0,Striker
Steven Peterson,45,0,0,10.05,0.79,32.44,0.65,0,Striker
Steven Siler,20,0,0,22,0.9,31,0.59,0,Striker
Stevie Ray,95,0,0,4.1,0.53,12.76,0.27,0,Grappler
Stipe Miocic,120,0,14,2.29,0.32,3.23,0.03,1,Striker
Sultan Aliev,30,0,0,1.45,0.21,14.47,0.3,0,Grappler
Syuri Kondo,20,0,0,286,1,31,0.59,0,Striker
T.J. Dillashaw,25,3,8,6.33,0.68,17.63,0.39,1,Striker
Tae Hyun Bang,65,0,0,7.41,0.73,103,0.85,0,Striker
Tai Tuivasa,25,0,7,15.5,0.86,39,0.67,1,Striker
Takanori Gomi,40,6,14,23.13,0.91,17.46,0.38,1,Striker
Takenori Sato,10,0,0,0,0,15,0.3,0,Grappler
Takeya Mizugaki,60,0,0,3.61,0.48,5.7,0.09,0,Grappler
Talita Bernardo,30,0,0,3.29,0.45,20.62,0.42,0,Grappler
Tamdan McCrory,30,0,0,1.05,0.17,8.93,0.2,0,Grappler
Tarec Saffiedine,100,0,0,8.39,0.75,11.24,0.25,0,Striker
Tateki Matsuda,30,0,0,4.06,0.53,120.01,0.86,0,Grappler
Tatiana Suarez,40,3,2,1.13,0.18,4.11,0.05,1,Grappler
Tatsuya Kawajiri,85,0,0,1.43,0.21,5,0.07,0,Grappler
Taylor Lapilus,55,0,0,10.69,0.8,549,0.95,0,Striker
Tecia Torres,130,1,0,6.03,0.67,7.55,0.17,1,Grappler
Teemu Packalen,25,0,0,2.13,0.3,13.02,0.28,0,Grappler
Terrion Ware,60,0,0,13.01,0.84,100.41,0.84,0,Striker
Teruto Ishihara,95,0,0,7.51,0.73,23.52,0.55,0,Striker
Thales Leites,155,0,0,6.19,0.68,11.37,0.25,0,Grappler
Thanh Le,10,0,0,14,0.85,15,0.3,0,Striker
Thiago Alves,90,1,13,14.38,0.85,54.38,0.76,1,Striker
Thiago Perpetuo,5,0,0,0,0,7,0.11,0,Grappler
Thiago Santos,130,1,15,4.19,0.54,8.06,0.18,1,Striker
Thiago Tavares,30,0,0,1.32,0.2,3.5,0.04,0,Grappler
Thibault Gouti,45,0,0,3.51,0.48,102.85,0.85,0,Grappler
Thomas Almeida,75,3,17,359.25,1,267.66,0.92,1,Striker
Tiago Trator,50,0,0,13.91,0.85,42.48,0.7,0,Striker
Tim Boetsch,75,0,0,3.87,0.51,15.11,0.35,0,Grappler
Tim Elliott,75,6,3,1.63,0.23,9.73,0.21,1,Grappler
Tim Gorman,30,0,0,3.21,0.44,47,0.72,0,Grappler
Tim Johnson,85,0,0,5.07,0.61,35.17,0.66,0,Grappler
Tim Kennedy,55,0,0,2.78,0.39,87,0.83,0,Grappler
Tim Means,150,0,0,8.44,0.75,8.96,0.2,0,Striker
Tim Williams,20,0,0,18,0.88,31,0.59,0,Striker
Tina Lahdemaki,15,0,0,0,0,23,0.44,0,Grappler
TJ Dillashaw,130,3,8,9.14,0.77,6.96,0.11,1,Striker
TJ Waldburger,15,0,0,0,0,23,0.44,0,Grappler
Toby Misech,15,0,0,0,0,23,0.44,0,Grappler
Todd Duffee,10,0,0,8,0.74,15,0.3,0,Striker
Tom Breese,45,0,0,3.55,0.48,14.7,0.3,0,Grappler
Tom Duquesnoy,40,0,0,4.58,0.57,1.9,0.01,0,Grappler
Tom Gallicchio,15,0,0,0,0,23,0.44,0,Grappler
Tom Lawlor,25,0,0,13.75,0.84,39,0.67,0,Striker
Tom Niinimaki,20,0,0,1.23,0.19,479,0.95,0,Grappler
Tom Watson,60,0,0,35.33,0.94,95,0.84,0,Striker
Tony Ferguson,120,8,12,4.6,0.57,10.07,0.22,1,Striker
Tony Martin,130,0,0,5.77,0.65,7.99,0.17,0,Grappler
Tony Sims,25,0,0,1.88,0.26,1499,0.98,0,Grappler
Tonya Evinger,20,0,0,21.75,0.9,31,0.59,0,Striker
Tor Troeng,30,0,0,4.85,0.59,46.37,0.71,0,Grappler
Travis Browne,90,0,0,3.9,0.51,15.69,0.36,0,Grappler
Trevin Giles,25,0,0,1.22,0.19,20.78,0.42,0,Grappler
Trevor Smith,115,0,0,2.24,0.31,2.77,0.03,0,Grappler
Tyler Diamond,15,0,0,0,0,23,0.44,0,Grappler
Tyron Woodley,135,5,7,5.18,0.61,18.97,0.4,1,Striker
Tyson Pedro,35,0,0,3.06,0.43,12.83,0.28,0,Grappler
Ulka Sasaki,70,0,0,2.77,0.39,10.03,0.22,0,Grappler
Uriah Hall,95,1,11,5.03,0.6,21.7,0.43,1,Striker
Urijah Faber,125,17,10,5.53,0.63,15.15,0.35,1,Grappler
Vagner Rocha,10,0,0,0,0,15,0.3,0,Grappler
Valentina Shevchenko,100,7,5,4.41,0.56,12.57,0.27,1,Grappler
Valerie Letourneau,100,0,0,13.71,0.84,18.6,0.4,0,Striker
Valmir Lazaro,45,0,0,30.25,0.93,129.12,0.87,0,Striker
Vaughan Lee,35,0,0,316,1,55,0.77,0,Striker
Vernon Ramos,5,0,0,0,0,7,0.11,0,Grappler
Veronica Macedo,30,0,0,54,0.96,47,0.72,0,Striker
Vicente Luque,75,6,9,2.74,0.38,4.5,0.06,1,Striker
Vik Grujic,40,0,0,2.33,0.33,69.07,0.8,0,Grappler
Viktor Pesta,60,0,0,1.49,0.22,5.53,0.08,0,Grappler
Vinc Pichel,60,0,0,2.42,0.34,4.34,0.06,0,Grappler
Vincent Morales,10,0,0,0,0,15,0.3,0,Grappler
Viscardi Andrade,45,0,0,3.67,0.49,36.24,0.67,0,Grappler
Vitor Belfort,55,3,18,6.74,0.7,470.43,0.95,1,Striker
Vitor Miranda,85,0,0,2.1,0.3,11.12,0.24,0,Grappler
Viviane Pereira,60,0,0,5.59,0.64,62.72,0.79,0,Grappler
Volkan Oezdemir,35,1,11,64.6,0.97,1399,0.98,1,Striker
Wagner Silva,25,0,0,56,0.96,39,0.67,0,Striker
Walt Harris,70,0,13,6.41,0.68,29,0.58,1,Striker
Wang Guan,15,0,0,0,0,23,0.44,0,Grappler
Warlley Alves,110,0,0,4.8,0.58,5.23,0.08,0,Grappler
Weili Zhang,15,7,9,0,0,23,0.44,1,Striker
Wendell Oliveira,15,0,0,24,0.91,23,0.44,0,Striker
Will Brooks,45,0,0,5.73,0.65,24.53,0.56,0,Grappler
Will Campuzano,15,0,0,0,0,23,0.44,0,Grappler
Will Chope,10,0,0,0,0,15,0.3,0,Grappler
William Patolino,20,0,0,7.8,0.74,31,0.59,0,Striker
Willie Gates,45,0,0,8.55,0.76,100.89,0.84,0,Striker
Wilson Reis,125,0,0,2.39,0.33,2.65,0.02,0,Grappler
Wu Yanan,15,0,0,0,0,23,0.44,0,Grappler
Wuliji Buren,25,0,0,2.89,0.41,45.88,0.71,0,Grappler
Yair Rodriguez,100,2,4,3.6,0.48,9.87,0.21,1,Striker
Yan Cabral,55,0,0,1.57,0.23,10.59,0.23,0,Grappler
Yan Xiaonan,30,0,5,37,0.95,47,0.72,1,Striker
Yana Kunitskaya,20,1,7,3.43,0.46,136.14,0.87,1,Striker
Yancy Medeiros,95,0,0,17.37,0.88,48.09,0.75,0,Striker
Yao Zhikui,50,0,0,2.3,0.32,16.47,0.37,0,Grappler
Yaotzin Meza,75,0,0,2.31,0.33,31.79,0.64,0,Grappler
Yoel Romero,155,0,11,2.64,0.36,13.02,0.28,1,Striker
Yosdenis Cedeno,50,0,0,4.89,0.59,25.91,0.56,0,Grappler
Yoshihiro Akiyama,30,7,5,1.51,0.22,47,0.72,1,Grappler
Yui Chul Nam,45,0,0,2.18,0.31,20.26,0.41,0,Grappler
Yushin Okami,20,14,3,6.8,0.7,31,0.59,1,Grappler
Yusuke Kasuya,25,0,0,24.75,0.91,1199,0.97,0,Striker
Yuta Sasaki,5,12,2,0,0,7,0.11,1,Grappler
Yves Edwards,20,0,0,21,0.89,1199,0.97,0,Striker
Yves Jabouin,35,0,0,11.78,0.82,364.22,0.94,0,Striker
Zabit Magomedsharipov,50,7,6,2.44,0.34,4.7,0.07,1,Grappler
Zach Makovsky,90,0,0,1.92,0.27,22.23,0.43,0,Grappler
Zak Cummings,90,0,0,6.22,0.68,6.45,0.1,0,Grappler
Zak Ottow,65,0,0,6.97,0.71,33.9,0.66,0,Grappler
Zhang Lipeng,30,0,0,1.45,0.21,6.04,0.1,0,Grappler
Zu Anyanwu,15,0,0,3,0.42,149,0.88,0,Grappler
Zubaira Tukhugov,50,0,0,6.73,0.7,78.21,0.82,0,Grappler
